Country Name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Bermuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.24625651,21.42955833,19.925213,20.22336166,19.0129001,18.61791495,18.66949558,18.94421005,20.82452773,21.72037969,20.95597074,21.08497167,20.02160263,20.84241251,22.85563126,23.22943272,15.89298722
Bolivia,0,0,0,0,0,0,0.051244809,0.05577182,0.05321667,0.022617596,0.030854077,0.079774501,0.048264953,0.092205734,0.094011119,0.111580648,0.202051692,0.197794083,0.09787689,0.180238527,0.09450276,0.063631544,0.067329695,0.073238365,0.075235446,0.080415035,0.144654247,1.07119385,1.04030669,1.158711634,1.510742753,1.66160673,1.428122347,1.956923853,2.39995243,3.529539633,5.265300489,8.04388655,6.805203298,6.101098479,4.886647338,4.35249991,4.100250144,3.91834763,3.566976427,3.608942543,3.672932808,3.753793546,3.445923814,3.265948534,3.075410112,3.506961667,3.387077759
Brazil,0,0,0,0,0,0.063465746,0.052882781,0.03459146,0.056421392,0.032981202,0.046757811,0.048059189,0.021008859,0.015290802,0.024423918,0.018968148,0.015595706,0.014838009,0.010393595,0.029056336,0.123228696,0.272239614,0.458564602,0.284508649,0.378595271,0.38370884,0.242113829,0.17798783,0.143103421,0.250315991,0.205903537,0.258742172,0.393057981,0.409627706,0.420223946,0.314631177,0.296775255,0.23660871,0.214793373,0.173315292,0.139566673,0.122874993,0.11293364,0.109901884,0.107811943,0.160741908,0.152575419,0.130785144,0.153030293,0.171549778,0.241596221,0.248663981,0.258801256
Barbados,0,0,0,0,2.608531708,2.290795639,2.213753191,2.019803495,2.116177355,2.118257036,0.898960254,0.99173875,0.777542306,0.683647812,0.772149104,0.578204382,0.697784786,1.654570056,1.762507859,1.595083024,1.883574823,2.234502905,2.784874808,2.68254101,2.658801977,2.746987441,2.876912074,3.08199204,3.079425962,3.343697322,3.699950972,4.254378785,4.025784645,4.066053902,3.788897417,2.472978762,2.071118955,2.966922614,2.114153277,2.563476815,1.807286799,3.162360899,3.304049253,4.083204926,4.018379977,4.1915606,3.259159432,1.70981376,0,0,0,0,0
Brunei Darussalam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007246467,0.006375508,0
Bhutan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.255881125,0.251050275,0.289045776,0.394379372,0.534465727,0.588628596,1.01863428,0.672143695,0.749431866,0.981061044,1.590732124,1.761117585,2.376447186,2.234481793,3.588323678,2.888985452,0
Botswana,0,0,0,0,0,12.14544092,16.50695509,15.25312275,9.735146697,7.10864995,7.288824194,6.94490831,5.559542436,4.76727452,4.028428613,2.805346628,2.674920643,2.764055206,2.06791017,1.601338995,2.257403618,2.117742961,2.266829773,1.785660279,1.640634646,1.169724421,0.89234187,0.815215138,0.756831654,0.480651699,0.320314533,0.326209844,0.350687506,0.363562942,0.878109958,1.187071363,1.047054615,0.872425068,0.436342785,0.150309727,0.176630497,0.135069556,0.130168543,0.252277158,0.298143872,0.222054366,0.163250645,0.24188875,0.260157616,0.354899129,0.238069614,0.307567807,0.273247259
Central African Republic,0,0,0,0,0,0,0,0.387538266,0.161851466,0,0.004750594,0.001588983,0.00488003,0.003187247,0.003316284,0.00246403,0.00191295,0.001800726,0.001722255,0.001778302,0.005608596,0.010294235,0.010648976,0.012427403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.080280109,0.08842632,0.075165325,0.078147509,0.096863262,0.074460178,0.082709005,0.083523121,0.075071018,0.080614655,0.079588271,0.082295229,0.080164982,0.083671656,0.08703789,0.074143671,0.068439567,0.068618655,0.072378451,0.074833437,0.081866248,0.08438019,0.076893949,0.075092376,0.075228745,0.049880629,0.041544252,0.040182206
Central Europe and the Baltics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.385131971,0.516590066,0.502404091,0.509940967,0.581818867,0.524497047,0.851797025,0.989798539,1.01354431,1.164618343,1.561334928,1.878529901,2.028564709,1.949652081,1.778895042,1.747740151,1.526535665,1.514733522,1.582738379,2.060996752,2.105965504,2.221367317,2.31315237,2.270306458,2.147401396,2.196756756,2.056051358,1.956873346,1.82912615
