Country Name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Bermuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171580000,177947228.1,190915102.1,212564001.2,238623065.8,215424493.8,217148645.7,218784177.2,224147086.9,186973109.8,213856867.8,218383822,197545233.4,198609831.9,183196006.1,159405524.5,0
Bolivia,0,0,0,0,0,0,1799999.952,2000000,2200000.048,2000000,2400000.095,2200000.048,2299999.952,2299999.952,2200000.048,3299999.952,5099999.905,4199999.809,7099999.905,7699999.809,7700000,8600000,8900000,9500000,9800000,9200000,13000000,12000000,15100000,32100000,37000000,36380000,37880000,45781410.25,50586782.93,66719820.04,73240336.47,78912289.45,105883449.6,103470000,101784071.7,117258563.5,147112672.3,172158814.2,180137043.9,210175743.5,222250464.3,232927804.4,251815643.3,275421573.7,215679931.6,293731382.5,319306430.9
Brazil,0,0,0,0,0,108000000,103000000,114000000,147000000,27000000,152000000,154000000,168000000,19000000,5000000,6000000,10000000,10000000,7000000,9000000,11000000,21000000,34000000,198000000,250000000,336000000,396000000,361000000,359000000,308000000,338325000,344833000,329421000,295980000,339493000,373953000,529306000,562634000,813083000,730896100,1023656775,1123817122,1063670887,1150189008,1538775897,1339086890,1385076006,2238140844,2253247430,2231583198,1607787352,1755081763,2238383172
Barbados,550000.0119,354452.5802,416388.8991,816651.2847,438333.5412,396261.9305,100000.0015,649999.9762,649999.9762,750000,699999.9881,800000.0119,550000.0119,500000,850000.0238,750000,800000.0119,4500000,3650000.095,7000000,6250000,7700000,8800000,9550000,11250000,15450000,20350000,16250000,17700000,18950000,19150000,20300000,20134500,21713000,18250000,40794146.7,35778093,55286712.96,39018966.67,37170015.89,35029244.53,56726261.54,52694935,63896785.98,62510666.95,54531589.64,51615785.78,48758037.11,0,0,0,0,0
Brunei Darussalam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89225732.06,96975673.55,353781659.8,375574678.9,405466493.7,430285346.6,420360159,444817438.6,0,0,0,0,0,0,0,0,0,0,10149953.86,10418163.01,0
Bhutan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75022491.03,60503403.68,61007916.24,47650215.21,70779765.67,92283274.05,73765182.33,57949829.29,52119521.97,54958721.17,52526250.44,52589438.24,57524189.42,64990915.75,47980514.8,27465462.34,33673636.91
Botswana,0,0,0,0,0,3921527.863,36800010.68,40619522.09,34293014.53,16809679.03,25861236.57,29041337.97,25542390.82,22608638.76,24030069.35,15663051.61,22031305.31,1131665.826,18780263.9,36428863.53,117981204.5,117928922.8,139212456.6,131444548.8,145307825.6,198938992,86366731.21,119016205.7,117727668.6,122264635.6,133941061.2,129091561.7,129616289.5,185589022.4,99200398.06,107032901.7,97410081.81,98646074.2,57561567.9,59503691.65,99754459.86,122311487,124130509,97489264.39,105396857.5,94742111.7,80447980.8,81246534.89,63438910.57,99403760.85,163602998.2,236646583.8,0
Central African Republic,0,0,0,0,0,0,0,11335898.4,14823457.72,10511388.78,19609090.81,15783966.06,17714208.6,16739881.52,15264671.33,15051318.17,24230022.43,28944896.7,33013458.25,31184141.16,35987025.99,35199421.53,34591173.49,35968735.76,27377290.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1314152129,1312810162,1225019805,1137252966,1180866507,1306027082,1451288395,1547247001,1494681390,1614242982,1696622259,1774974003,1970679764,2242154647,2610530519,3261615580,3286690324,4567022241,4859141897,4662098289,5290453957,5557756828,5629382995,5702499908,5948213017,5114157604,5255722465,6482765219,7578422449,8763218444,7458003424,8077519278,8311804084
Central Europe and the Baltics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2144234.415,24086494.15,240562589.6,525506810.7,750624542,756134801,1128780841,1049646357,1518592487,1684720277,1841159624,2184365072,2509041356,3380777958,4244941341,5845107717,8006878108,6340308258,5466761297,6234406823,6145089406,6268395694,7544538556,7066801239,8422815350,11707565722,14294567499,15981689868,15180500933,18065203070,20085038756
