,Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
20,Bangladesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18761274.34,78875038.15,115435371.4,171138702.4,338666748.0,381052154.5,526463684.1,642408508.3,500747406.0,502471374.5,576282470.7,747808898.9,763622131.3,757979553.2,778865600.6,769365722.7,911759948.7,1007375061.0,1150881226.0,1201664267.0,1344661209.0,1526499544.0,1605786652.0,1806794192.0,1967528858.0,2104551469.0,2858057770.0,3191664732.0,3583817228.0,4314502846.0,5427515429.0,6562316322.0,8940611606.0,10520653006.0,10850211617.0,12071073184.0,14119627034.0,13866954019.0,14987531479.0,15295536095.0,13574285886.0,13501933033.0,15566241930.0,18363859531.0,21749701161.0,22205503377.119987,21503993718.2139
21,Bulgaria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41500000.0,50600000.0,50675833.24,42528019.77,58235451.35,826200309.6,1176951497.0,1718485429.0,1722769585.0,1612912427.0,1716435981.0,1693553171.0,1918650334.0,1591794628.0,1332910000.0,1483190000.0,1448880000.0,1666960000.0,1684740000.0,1494740000.0,1665570000.0,2193590000.0,2408230000.0,2342370000.0,954920000.0,1977520000.0,2033320000.0
22,Bahrain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,"Bahamas, The",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Bosnia and Herzegovina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1984050244.0,1872783886.0,1580952511.0,1500016857.0,1495729519.0,1738096326.0,2053201662.0,2037731948.0,2148940834.0,2686415541.0,2717663874.0,2127033059.0,1822304847.0,1958230200.0,1845715377.0,1957987470.0,2107139725.0,1801111958.0,1845995097.0,2016872695.0,2262876954.0,2297382856.0,1858044738.0,2374467959.4508553,2466216963.371177
25,Belarus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400000.006,400000.006,28500000.0,93300000.0,46500000.0,53900000.0,62000000.0,114200000.0,67200000.0,80600000.0,164100000.0,239400000.0,198600000.0,268200000.0,288300000.0,583300000.0,503800000.0,575300000.0,890600000.0,1053100000.0,1213500000.0,1231300000.0,931500000.0,976600000.0,1253800000.0,1445800000.0,1418800000.0,1013700000.0,1149960674.08,1465139529.0
26,Belize,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17750000.0,21049999.24,24399999.62,19350000.38,16950000.76,21950000.76,18450000.76,15600000.38,19750000.0,16500000.0,12968000.41,13896500.0,17250000.0,22700000.0,23400000.0,24416904.32,24868381.0,28397885.21,26836163.72,32151079.73,33650128.54,44693322.84,63811950.79,73119263.19,76489003.31,78578401.6,78134569.59,75323553.82,75945646.69,74401710.37,80334417.62,84744074.54,96671006.68,90214516.3,92512738.78,96816750.12,120683619.4,135359896.997178,142416852.72081
27,Bermuda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1182490000.0,1450138212.0,1390779867.0,1346066952.0,1261415801.0,1175291441.0,1190775527.0,1224886398.0,1335682710.0,1445391572.0,1445943330.0,1505955305.0,1446756401.0,1547229198.0,1547229198.0,1655608129.0972562,1800000000.0
28,Bolivia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1399999.976,1799999.952,2000000.0,1000000.0,1399999.976,4699999.809,2700000.048,5000000.0,5800000.191,6000000.0,8000000.0,8600000.381,4500000.0,8500000.0,4599999.905,3400000.095,3799999.952,4199999.809,4500000.0,5400000.0,10700000.0,84900000.0,88400000.0,96000000.0,126870000.0,135280000.0,112900000.0,158166413.3,210558668.5,337040056.7,602974070.7,1055366582.0,1134718447.0,1057930000.0,960212746.8,1042996647.0,1110532147.0,1201339479.0,1176966248.0,1190958194.0,1246634759.0,1407996989.0,1388281654.0,1335620197.0,1126574024.0,1417100383.1991787,1458776647.502851
29,Brazil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82000000.0,81000000.0,61000000.0,113000000.0,73000000.0,111000000.0,124000000.0,57000000.0,29000000.0,46000000.0,40000000.0,40000000.0,42000000.0,32000000.0,120000000.0,573000000.0,1110000000.0,1791000000.0,1247000000.0,2068000000.0,2952000000.0,2059000000.0,1572000000.0,1236000000.0,1501000000.0,1349591000.0,1448914000.0,2003791000.0,2286680000.0,2812514000.0,2805358000.0,3287162000.0,3305694000.0,3642585000.0,2889159500.0,3082801866.0,3214602243.0,2784072055.0,2717675069.0,2647908513.0,2896909952.0,2739786527.0,2698770651.0,2933489276.0,3213621677.0,3566219438.0,4102018147.7,4969231432.81
